Order_ID,Order_Date,Order_Status,CustomerID,Gender,Age,City,Country,Subscription Status,Category,Item_Purchased,Quantity,Purchase_Amount,Discount Applied,Shipping_Cost,Payment Method,Previous Purchases,Frequency of Purchases,Ship_Mode,Review Rating
171-4638481-6326716,4/30/2022,Shipped,13047,Male,30,Karachi,Pakistan,Yes,Toys,Toy Car,6,593.77,Yes,401.42,Bank Transfer,10,Fortnightly,Express,4.9
405-5513694-8146768,4/30/2022,Shipped - Delivered to Buyer,13047,Male,61,Cairo,Egypt,Yes,Books,Notebook,8,487.69,Yes,294.09,Venmo,37,Fortnightly,Same Day,4.5
408-7955685-3083534,4/30/2022,Shipped,13047,Male,65,Rio de Janeiro,Brazil,Yes,Home & Kitchen,Blender,6,1226.26,Yes,328.51,PayPal,31,Weekly,Same Day,4.7
408-1298370-1920302,4/30/2022,Shipped - Delivered to Buyer,13047,Male,64,ÅŒsaka,Japan,Yes,Toys,Lego Set,6,505.1,Yes,288.84,Debit Card,34,Weekly,Express,
403-4965581-9520319,4/30/2022,Shipped - Delivered to Buyer,13047,Male,64,Beijing,China,Yes,Sports,Basketball,3,313.71,Yes,404.6,PayPal,8,Monthly,Same Day,2.8
406-9379318-6555504,4/30/2022,Shipped,13047,Male,25,Manila,Philippines,Yes,Beauty,Moisturizer,2,626.75,Yes,333.68,Debit Card,44,Bi-Weekly,Express,4.1
405-9013803-8009918,4/30/2022,Shipped,13047,Male,53,Moscow,Russia,Yes,Books,Novel,3,252.98,Yes,492.9,Venmo,36,Quarterly,Express,4.7
402-4030358-5835511,4/30/2022,Shipped - Delivered to Buyer,13047,Male,52,Istanbul,Turkey,Yes,Home & Kitchen,Blender,3,423.89,Yes,471.82,Cash,17,Weekly,Same Day,4.6
405-5957858-1051546,4/30/2022,Shipped,13047,Male,66,Paris,France,Yes,Electronics,Camera,4,366.75,Yes,265.99,Debit Card,46,Bi-Weekly,Same Day,3.3
405-0607769-0716360,4/30/2022,Shipped,13047,Male,21,Seoul,"Korea, South",Yes,Clothing,T-Shirt,4,277.22,Yes,147.7,Cash,50,Every 3 Months,Express,2.8
404-8494550-5860325,4/30/2022,Shipped,13047,Male,31,Lagos,Nigeria,Yes,Toys,Puzzle,6,228.6,Yes,217.68,Debit Card,22,Quarterly,Same Day,
171-1305077-2813934,4/30/2022,Shipped,13047,Male,56,Jakarta,Indonesia,Yes,Books,Notebook,3,595.73,Yes,125.46,Debit Card,32,Annually,Express,3.2
404-6019946-2909948,4/30/2022,Cancelled,13047,Male,31,Guangzhou,China,Yes,Clothing,Jacket,3,551.87,Yes,263.14,Credit Card,40,Weekly,Same Day,4.4
402-3384087-4005164,4/30/2022,Shipped,13047,Male,18,Chicago,United States,Yes,Clothing,Jeans,3,457.14,Yes,92.32,Debit Card,16,Weekly,Standard,2.9
405-8191138-5176316,4/30/2022,Shipped - Delivered to Buyer,13047,Male,18,London,United Kingdom,Yes,Beauty,Face Wash,3,532,Yes,162.17,PayPal,14,Annually,Standard,3.6
403-9230474-9657916,4/30/2022,Shipped - Delivered to Buyer,12583,Male,38,Lima,Peru,Yes,Electronics,Camera,24,575.59,Yes,130.46,Credit Card,13,Annually,Standard,3.6
408-3484251-6901959,4/30/2022,Shipped,12583,Male,56,Tehran,Iran,Yes,Electronics,Headphones,24,435.13,Yes,300.8,Bank Transfer,7,Every 3 Months,Standard,5
405-7755803-4729935,4/30/2022,Shipped,12583,Male,54,Kinshasa,Congo (Kinshasa),Yes,Home & Kitchen,Cookware Set,12,552.95,Yes,377.81,PayPal,41,Every 3 Months,Express,4.4
404-5933402-8801952,4/30/2022,Cancelled,12583,Male,31,BogotÃ¡,Colombia,Yes,Clothing,T-Shirt,12,445.98,Yes,303.62,Credit Card,14,Weekly,Express,4.1
171-9040274-9291563,4/30/2022,Shipped,12583,Male,57,Shenzhen,China,Yes,Sports,Cricket Bat,24,589.72,Yes,156.24,Credit Card,16,Monthly,Express,4.7
403-7056319-0979561,4/30/2022,Shipped,12583,Male,33,Wuhan,China,Yes,Beauty,Face Wash,48,288.07,Yes,137.01,Venmo,45,Monthly,Same Day,4.7
404-9632124-1107550,4/30/2022,Shipped - Delivered to Buyer,12583,Male,36,Hong Kong,Hong Kong,Yes,Sports,Cricket Bat,24,240.78,Yes,384.95,Venmo,37,Annually,Same Day,4.9
402-1465437-0579556,4/30/2022,Shipped - Delivered to Buyer,12583,Male,54,Tianjin,China,Yes,Beauty,Face Wash,18,305.1,Yes,347.99,Cash,45,Quarterly,Express,
404-7774085-3780319,4/30/2022,Shipped,12583,Male,36,Chennai,India,Yes,Books,Biography,24,424.52,Yes,423.05,PayPal,38,Quarterly,Standard,4.6
402-2764952-1492318,4/30/2022,Shipped - Delivered to Buyer,12583,Male,54,Taipei,Taiwan,Yes,Beauty,Perfume,24,500.81,Yes,378.62,Credit Card,48,Bi-Weekly,Same Day,
406-0272200-7784379,4/30/2022,Shipped,12583,Male,35,BengalÅ«ru,India,Yes,Home & Kitchen,Blender,24,224.17,Yes,399.88,PayPal,44,Fortnightly,Express,
403-4367956-2849158,4/30/2022,Shipped,12583,Male,35,Bangkok,Thailand,Yes,Sports,Cricket Bat,24,295.41,Yes,78,PayPal,10,Weekly,Standard,2.8
403-4367956-2849158,4/30/2022,Shipped,12583,Male,29,Lahore,Pakistan,Yes,Electronics,Camera,20,690.77,Yes,172.95,Venmo,44,Every 3 Months,Express,3.7
403-4242957-8599555,4/30/2022,Shipped,12583,Male,70,Chongqing,China,Yes,Clothing,Sweater,24,388.07,Yes,401.23,Credit Card,18,Monthly,Standard,4.2
408-7165704-5643524,4/30/2022,Shipped,12583,Male,69,Miami,United States,Yes,Toys,Lego Set,24,519.29,Yes,118.3,Debit Card,31,Quarterly,Same Day,4.6
402-8210765-3935569,4/30/2022,Shipped,12583,Male,67,Hyderabad,India,Yes,Home & Kitchen,Cookware Set,12,603.4,Yes,286.2,Venmo,40,Annually,Standard,4.5
406-7398201-3869914,4/30/2022,Shipped - Delivered to Buyer,12583,Male,20,Dallas,United States,Yes,Books,Notebook,24,503.14,Yes,376.57,PayPal,15,Annually,Same Day,4.1
408-3478480-0881162,4/30/2022,Shipped,12583,Male,25,Santiago,Chile,Yes,Toys,Toy Car,24,537.81,Yes,114.2,PayPal,19,Fortnightly,Same Day,3.7
402-7595162-9129931,4/30/2022,Shipped,12583,Male,39,Philadelphia,United States,Yes,Clothing,T-Shirt,36,649.74,Yes,454.26,PayPal,45,Weekly,Standard,4.6
171-6876154-6233146,4/30/2022,Shipped,12583,Male,50,Belo Horizonte,Brazil,Yes,Sports,Tennis Racket,3,472.92,Yes,399.96,PayPal,25,Annually,Same Day,2.9
408-3917043-5314763,4/30/2022,Shipped,13748,Male,57,Madrid,Spain,Yes,Home & Kitchen,Cookware Set,80,632.89,Yes,66.2,Cash,45,Quarterly,Standard,2.9
408-9281152-6213100,4/30/2022,Shipped,17850,Male,55,Houston,United States,Yes,Home & Kitchen,Cookware Set,6,510.86,Yes,126.88,Cash,36,Weekly,Express,
403-3496411-3082707,4/30/2022,Shipped,17850,Male,42,AhmadÄbÄd,India,Yes,Electronics,Smartphone,6,679.19,Yes,212.5,Cash,38,Monthly,Same Day,2.7
171-9208368-0157156,4/30/2022,Shipped - Delivered to Buyer,17850,Male,68,Ho Chi Minh City,Vietnam,Yes,Clothing,Jeans,6,550.61,Yes,244.93,Debit Card,34,Bi-Weekly,Standard,4.6
408-2137113-0982751,4/30/2022,Shipped,17850,Male,49,Washington,United States,Yes,Sports,Basketball,6,354.62,Yes,105.28,Debit Card,39,Bi-Weekly,Same Day,3.7
402-3628566-9688333,4/30/2022,Shipped,17850,Male,59,Atlanta,United States,Yes,Clothing,Jacket,8,635.6,Yes,320.87,Credit Card,7,Quarterly,Express,
408-7138000-9728362,4/30/2022,Shipped,17850,Male,42,Toronto,Canada,Yes,Toys,Doll,6,600.31,Yes,361.87,Credit Card,26,Weekly,Same Day,2.6
402-1752649-2274748,4/30/2022,Shipped,17850,Male,29,Singapore,Singapore,Yes,Electronics,Headphones,6,215.81,Yes,53.86,Credit Card,35,Weekly,Express,3.9
402-7944191-1869101,4/30/2022,Shipped,17850,Male,47,Luanda,Angola,Yes,Clothing,T-Shirt,6,235.25,Yes,491.05,Debit Card,35,Bi-Weekly,Same Day,4.2
407-4063876-9566742,4/30/2022,Shipped,17850,Male,40,Baghdad,Iraq,Yes,Electronics,Headphones,6,614.76,Yes,95.56,Credit Card,49,Annually,Standard,3
403-0752752-4656334,4/30/2022,Shipped,17850,Male,41,Barcelona,Spain,Yes,Beauty,Lipstick,6,534.47,Yes,124.28,Credit Card,46,Weekly,Same Day,4.7
406-8879861-2081117,4/30/2022,Shipped,17850,Male,21,HÄora,India,Yes,Books,Novel,2,378.39,Yes,408.22,Debit Card,17,Fortnightly,Same Day,4.4
406-8089333-7941903,4/30/2022,Shipped,17850,Male,69,Shenyang,China,Yes,Electronics,Headphones,4,437.95,Yes,414.11,Venmo,29,Monthly,Same Day,4.2
171-3072652-6805159,4/30/2022,Shipped,17850,Male,63,Khartoum,Sudan,Yes,Beauty,Moisturizer,6,658.12,Yes,451.52,Debit Card,4,Weekly,Same Day,4.6
171-2592464-6846743,4/30/2022,Shipped - Delivered to Buyer,17850,Male,50,Pune,India,Yes,Books,Notebook,6,486.5,Yes,159.93,Cash,17,Weekly,Same Day,4
404-2262140-4696366,4/30/2022,Shipped,17850,Male,55,Boston,United States,Yes,Beauty,Face Wash,6,210.78,Yes,82.82,Credit Card,21,Every 3 Months,Standard,4.7
404-2262140-4696366,4/30/2022,Shipped,17850,Male,30,Sydney,Australia,Yes,Home & Kitchen,Cookware Set,6,542.66,Yes,468.47,Credit Card,31,Fortnightly,Standard,3.8
405-3594372-1614709,4/30/2022,Shipped,17850,Male,33,Saint Petersburg,Russia,Yes,Sports,Basketball,2,425.17,Yes,148.16,Credit Card,43,Weekly,Standard,2.7
407-2974257-4781134,4/30/2022,Shipped,17850,Male,65,Chittagong,Bangladesh,Yes,Electronics,Smartphone,6,605.45,Yes,253.57,Debit Card,18,Fortnightly,Express,4.8
171-4137548-0481151,4/30/2022,Cancelled,15100,Male,65,Dongguan,China,Yes,Books,Comics,32,312.45,Yes,284.52,Venmo,44,Every 3 Months,Express,
405-4461562-9113959,4/30/2022,Shipped,17850,Male,31,Riyadh,Saudi Arabia,Yes,Home & Kitchen,Blender,6,580.81,Yes,496.49,Venmo,3,Every 3 Months,Express,4.7
404-4535078-5241919,4/30/2022,Shipped,17850,Male,45,Hanoi,Vietnam,Yes,Sports,Football,6,594.12,Yes,398.16,Debit Card,49,Monthly,Express,4.4
405-8387725-2971512,4/30/2022,Shipped,17850,Male,57,Guadalajara,Mexico,Yes,Books,Comics,8,534.77,Yes,278.94,Cash,21,Every 3 Months,Express,3.9
405-6480932-8759528,4/30/2022,Shipped,17850,Male,48,Melbourne,Australia,Yes,Home & Kitchen,Blender,6,325.65,Yes,153.97,Cash,5,Weekly,Express,4.4
405-9966506-3155561,4/30/2022,Shipped - Delivered to Buyer,17850,Male,22,Alexandria,Egypt,Yes,Clothing,Jeans,6,402.26,Yes,194.21,Debit Card,32,Every 3 Months,Same Day,4.2
408-7029737-8028367,4/30/2022,Shipped,17850,Male,36,Chengdu,China,Yes,Toys,Puzzle,6,373.51,Yes,120.83,Bank Transfer,34,Annually,Standard,2.9
407-2189901-7515567,4/30/2022,Shipped - Delivered to Buyer,17850,Male,18,Rangoon,Burma,Yes,Electronics,Headphones,6,230.8,Yes,388.81,Bank Transfer,21,Every 3 Months,Standard,2.9
402-2105657-2899562,4/30/2022,Shipped,17850,Male,48,Phoenix,United States,Yes,Beauty,Perfume,6,505.93,Yes,219.09,Bank Transfer,43,Bi-Weekly,Same Day,2.7
406-1326801-8886709,4/30/2022,Shipped - Delivered to Buyer,17850,Male,49,Xiâ€™an,China,Yes,Beauty,Lipstick,2,482.5,Yes,439.36,Cash,3,Monthly,Standard,4.5
408-7760667-5809130,4/30/2022,Shipped,17850,Male,64,Porto Alegre,Brazil,Yes,Books,Biography,4,474.87,Yes,127.63,Credit Card,21,Annually,Express,2.7
405-8457623-9269955,4/30/2022,Shipped,17850,Male,50,SÅ«rat,India,Yes,Books,Novel,6,293.08,Yes,459.12,Venmo,32,Monthly,Same Day,4.2
408-6820155-3521913,4/30/2022,Shipped,17850,Male,22,Hechi,China,Yes,Electronics,Laptop,6,474.11,Yes,366.35,Debit Card,36,Fortnightly,Express,3.3
403-6190683-2687538,4/30/2022,Shipped,17850,Male,50,Abidjan,CÃ´te Dâ€™Ivoire,Yes,Clothing,Jeans,6,562.61,Yes,278.45,Venmo,50,Fortnightly,Express,
408-4069830-3819562,4/30/2022,Shipped,17850,Male,38,BrasÃ­lia,Brazil,Yes,Sports,Basketball,6,686.62,Yes,386.43,Bank Transfer,43,Every 3 Months,Express,2.6
408-4069830-3819562,4/30/2022,Shipped,17850,Male,19,Ankara,Turkey,Yes,Clothing,T-Shirt,2,536.49,Yes,349.19,Credit Card,24,Every 3 Months,Same Day,3.3
408-4069830-3819562,4/30/2022,Shipped,17850,Male,67,Monterrey,Mexico,Yes,Clothing,T-Shirt,6,654.39,Yes,456.74,Credit Card,36,Every 3 Months,Standard,
171-7367545-7081126,4/30/2022,Shipped,15291,Male,19,Yokohama,Japan,Yes,Clothing,Sweater,48,415.44,Yes,259.94,Credit Card,21,Every 3 Months,Standard,4
404-6522553-9345930,4/30/2022,Cancelled,15291,Male,36,Nanjing,China,Yes,Beauty,Lipstick,64,233.02,Yes,196.54,Bank Transfer,34,Weekly,Same Day,4.1
403-9950518-0349133,4/30/2022,Cancelled,17850,Male,52,MontrÃ©al,Canada,Yes,Home & Kitchen,Blender,6,338.83,Yes,477.81,Bank Transfer,42,Every 3 Months,Standard,4.4
407-6599093-6553153,4/30/2022,Shipped - Delivered to Buyer,17850,Male,53,Guiyang,China,Yes,Electronics,Smartphone,6,690.71,Yes,386.65,Debit Card,2,Bi-Weekly,Standard,4.5
403-3763475-2237125,4/30/2022,Shipped,14688,Male,24,Recife,Brazil,Yes,Books,Notebook,10,480.66,Yes,351.44,Cash,47,Bi-Weekly,Express,3.7
405-1492294-0323520,4/30/2022,Shipped,14688,Male,52,Seattle,United States,Yes,Electronics,Smartphone,10,527.4,Yes,100.31,Debit Card,44,Fortnightly,Standard,3.7
403-1162895-2484367,4/30/2022,Shipped - Delivered to Buyer,14688,Male,33,Harbin,China,Yes,Beauty,Moisturizer,10,509.67,Yes,349.93,Credit Card,35,Monthly,Express,3.5
171-6833843-5473114,4/30/2022,Shipped,14688,Male,47,San Francisco,United States,Yes,Clothing,Jeans,10,492.67,Yes,170.56,Cash,15,Quarterly,Express,3.6
403-1477057-8253913,4/30/2022,Shipped,14688,Male,25,Fortaleza,Brazil,Yes,Sports,Football,12,240.87,Yes,463.25,Credit Card,29,Monthly,Express,2.9
408-2114413-6089906,4/30/2022,Shipped,14688,Male,44,Zhangzhou,China,Yes,Books,Notebook,6,655.19,Yes,120.42,Credit Card,18,Every 3 Months,Same Day,4.6
405-1879750-2639521,4/30/2022,Shipped - Delivered to Buyer,14688,Male,61,Detroit,United States,Yes,Books,Biography,12,512.3,Yes,484.06,Venmo,13,Every 3 Months,Standard,4.4
406-5727754-5302723,4/30/2022,Shipped,14688,Male,37,Salvador,Brazil,Yes,Toys,Doll,10,393.28,Yes,261.47,Credit Card,46,Weekly,Express,4.5
405-0901744-8270705,4/30/2022,Shipped,14688,Male,58,Busan,"Korea, South",Yes,Toys,Puzzle,6,416.18,Yes,490.78,Credit Card,28,Weekly,Same Day,4.6
405-9112089-3379536,4/30/2022,Cancelled,14688,Male,37,Johannesburg,South Africa,Yes,Electronics,Laptop,6,281.41,Yes,66.53,PayPal,48,Monthly,Standard,3.8
408-6357132-2310703,4/30/2022,Shipped,14688,Male,32,Berlin,Germany,Yes,Clothing,Jacket,120,696.05,Yes,85.66,Venmo,43,Every 3 Months,Same Day,
406-5334922-9670748,4/30/2022,Shipped,14688,Male,21,Algiers,Algeria,Yes,Sports,Tennis Racket,24,557.54,Yes,172.65,Cash,37,Annually,Same Day,4.8
402-8519791-3706738,4/30/2022,Shipped,14688,Male,20,Rome,Italy,Yes,Clothing,T-Shirt,24,333.93,Yes,59.05,Bank Transfer,20,Annually,Standard,2.6
408-1830318-0357940,4/30/2022,Shipped,14688,Male,26,Pyongyang,"Korea, North",Yes,Clothing,Jeans,24,290.2,Yes,158.64,Debit Card,33,Quarterly,Standard,3.7
406-5103760-7326749,4/30/2022,Shipped,14688,Male,62,MedellÃ­n,Colombia,Yes,Beauty,Moisturizer,6,631.44,Yes,259.06,Cash,31,Fortnightly,Same Day,2.7
402-7841951-1872363,4/30/2022,Cancelled,14688,Male,27,Kabul,Afghanistan,Yes,Home & Kitchen,Knife Set,48,242.98,Yes,270.92,Credit Card,50,Bi-Weekly,Standard,4.6
408-7698765-2294756,4/30/2022,Shipped - Delivered to Buyer,14688,Male,51,Athens,Greece,Yes,Clothing,Jacket,96,382.04,Yes,451.73,Credit Card,35,Quarterly,Standard,4.8
404-1856281-9996319,4/30/2022,Shipped - Delivered to Buyer,14688,Male,54,Nagoya,Japan,Yes,Home & Kitchen,Cookware Set,10,283.58,Yes,225.88,Venmo,22,Bi-Weekly,Same Day,4
406-5406738-7113145,4/30/2022,Shipped,14688,Male,55,Cape Town,South Africa,Yes,Toys,Toy Car,10,292.92,Yes,203.99,PayPal,1,Monthly,Standard,4.4
405-5257740-5301158,4/30/2022,Shipped - Delivered to Buyer,17809,Male,69,San Diego,United States,Yes,Toys,Puzzle,24,588.1,Yes,298.22,Bank Transfer,4,Annually,Standard,
405-5257740-5301158,4/30/2022,Shipped - Delivered to Buyer,15311,Male,64,Changchun,China,Yes,Toys,Toy Car,23,617.57,Yes,284.42,Credit Card,31,Monthly,Standard,3.7
405-2072502-4089911,4/30/2022,Shipped,15311,Male,28,Casablanca,Morocco,Yes,Electronics,Headphones,5,522.93,Yes,52.39,PayPal,46,Fortnightly,Express,3.1
405-0882561-5952340,4/30/2022,Shipped,15311,Male,70,Dalian,China,Yes,Sports,Basketball,10,457.21,Yes,233.25,Bank Transfer,32,Bi-Weekly,Same Day,3.4
403-7266170-1163500,4/30/2022,Shipped - Delivered to Buyer,15311,Male,58,Cawnpore,India,Yes,Electronics,Headphones,2,229.92,Yes,325.42,Bank Transfer,43,Fortnightly,Express,
405-8114272-1687512,4/30/2022,Shipped,15311,Male,56,Kano,Nigeria,Yes,Sports,Cricket Bat,6,439.67,Yes,105.24,Venmo,26,Fortnightly,Same Day,4
171-6138639-1478731,4/30/2022,Shipped,15311,Male,26,Tel Aviv-Yafo,Israel,Yes,Electronics,Headphones,24,363.3,Yes,368.33,Credit Card,9,Annually,Express,
405-4059216-4541150,4/30/2022,Shipped,15311,Male,37,Addis Ababa,Ethiopia,Yes,Electronics,Smartphone,24,335.62,Yes,120.68,PayPal,28,Bi-Weekly,Standard,4.3
405-1152015-7333945,4/30/2022,Shipped,15311,Male,44,Curitiba,Brazil,Yes,Electronics,Headphones,1,261.84,Yes,223.13,PayPal,20,Quarterly,Same Day,3.1
406-0177436-6731556,4/30/2022,Shipped,15311,Male,70,Zibo,China,Yes,Beauty,Face Wash,1,696.36,Yes,478.75,Cash,9,Weekly,Same Day,3.7
406-0715107-8168308,4/30/2022,Shipped,15311,Male,53,Jeddah,Saudi Arabia,Yes,Books,Novel,1,307.11,Yes,300.24,Debit Card,48,Every 3 Months,Same Day,3.8
403-0104882-7373900,4/30/2022,Cancelled,15311,Male,55,Nairobi,Kenya,Yes,Electronics,Smartphone,10,584.8,Yes,457.98,Venmo,12,Annually,Same Day,3.4
403-0104882-7373900,4/30/2022,Cancelled,15311,Male,50,Hangzhou,China,Yes,Electronics,Laptop,3,577.75,Yes,128.03,Cash,29,Fortnightly,Express,4.6
403-0104882-7373900,4/30/2022,Cancelled,15311,Male,50,Benoni,South Africa,Yes,Toys,Doll,1,485.18,Yes,292.84,Cash,27,Bi-Weekly,Same Day,4.8
405-3002282-6797102,4/30/2022,Shipped,15311,Male,38,Caracas,Venezuela,Yes,Toys,Puzzle,2,387.86,Yes,263.14,Cash,44,Annually,Express,4.3
407-8466904-3461908,4/30/2022,Shipped,15311,Male,64,Milan,Italy,Yes,Home & Kitchen,Cookware Set,1,640.5,Yes,169.69,Bank Transfer,32,Annually,Express,4
171-3305587-5364338,4/30/2022,Shipped,15311,Male,19,Stuttgart,Germany,Yes,Home & Kitchen,Blender,1,324.56,Yes,471.95,Cash,11,Fortnightly,Same Day,
406-8961316-8137943,4/30/2022,Shipped - Delivered to Buyer,15311,Male,40,Kunming,China,Yes,Beauty,Face Wash,4,436.7,Yes,442.18,Cash,44,Fortnightly,Standard,4.8
406-8961316-8137943,4/30/2022,Shipped - Delivered to Buyer,15311,Male,57,Dar es Salaam,Tanzania,Yes,Clothing,Sweater,1,597.16,Yes,251.88,Cash,46,Weekly,Standard,3.1
171-2813040-8296320,4/30/2022,Shipped,15311,Male,44,Minneapolis,United States,Yes,Clothing,T-Shirt,6,448.95,Yes,212.03,PayPal,50,Annually,Express,3.1
408-9845791-1393151,4/30/2022,Shipped,15311,Male,49,Jaipur,India,Yes,Clothing,Sweater,3,323.71,Yes,384.94,Venmo,45,Every 3 Months,Same Day,3.6
402-4277204-2348328,4/30/2022,Shipped,15311,Male,43,Taiyuan,China,Yes,Books,Biography,2,262.46,Yes,407.09,Cash,48,Every 3 Months,Express,3.9
171-3049339-2085136,4/30/2022,Shipped,15311,Male,24,Frankfurt,Germany,Yes,Beauty,Moisturizer,1,651.3,Yes,342.92,Credit Card,26,Weekly,Standard,4.8
405-9928526-2470747,4/30/2022,Shipped,15311,Male,20,Qingdao,China,Yes,Home & Kitchen,Knife Set,1,520.09,Yes,291.88,Credit Card,21,Fortnightly,Express,4.7
405-4908072-0260360,4/30/2022,Shipped - Delivered to Buyer,15311,Male,24,Surabaya,Indonesia,Yes,Books,Notebook,1,251.73,Yes,392.4,PayPal,49,Bi-Weekly,Standard,4.2
406-3984186-5973150,4/30/2022,Shipped,15311,Male,44,Lisbon,Portugal,Yes,Home & Kitchen,Knife Set,1,588.94,Yes,74.49,PayPal,13,Fortnightly,Same Day,3.7
171-8635309-7508346,4/30/2022,Shipped,15311,Male,28,Tampa,United States,Yes,Electronics,Smartphone,2,285.98,Yes,184.14,Credit Card,46,Weekly,Standard,3.9
171-0293372-4913973,4/30/2022,Cancelled,15311,Male,30,Jinan,China,Yes,Books,Biography,2,660.89,Yes,222.23,PayPal,42,Weekly,Same Day,4.7
402-8288606-4313118,4/30/2022,Shipped,15311,Male,52,Fukuoka,Japan,Yes,Beauty,Moisturizer,2,692.64,Yes,426.12,Venmo,25,Annually,Express,2.5
402-8746990-6412346,4/30/2022,Shipped,15311,Male,43,Campinas,Brazil,Yes,Home & Kitchen,Cookware Set,4,286.95,Yes,411,Cash,25,Monthly,Same Day,
402-0294212-5431551,4/30/2022,Shipped,15311,Male,43,Denver,United States,Yes,Toys,Toy Car,1,616.65,Yes,442.03,PayPal,12,Quarterly,Same Day,4.1
406-1530134-2105912,4/30/2022,Shipped,15311,Male,39,Kaohsiung,Taiwan,Yes,Books,Comics,1,355.75,Yes,230.07,Debit Card,4,Quarterly,Same Day,3.3
403-5222550-4437140,4/30/2022,Shipped,15311,Male,68,Quezon City,Philippines,Yes,Electronics,Headphones,2,438.9,Yes,387.9,PayPal,38,Weekly,Same Day,4.7
408-1482435-5202714,4/30/2022,Shipped - Delivered to Buyer,15311,Male,68,Katowice,Poland,Yes,Toys,Toy Car,3,670.33,Yes,241.67,Bank Transfer,42,Weekly,Express,4.4
403-6442534-2769112,4/30/2022,Cancelled,15311,Male,49,Aleppo,Syria,Yes,Sports,Basketball,36,262.48,Yes,434.25,Venmo,30,Annually,Standard,3.8
408-3113070-0750756,4/30/2022,Shipped,15311,Male,63,Durban,South Africa,Yes,Electronics,Smartphone,10,517.67,Yes,145.86,Credit Card,50,Weekly,Same Day,3.9
404-7796841-1880317,4/30/2022,Shipped,14527,Male,56,Kyiv,Ukraine,Yes,Toys,Puzzle,-1,233.21,Yes,447.04,PayPal,45,Weekly,Express,4.9
405-2142542-0941949,4/30/2022,Shipped,16098,Male,37,Lucknow,India,Yes,Beauty,Moisturizer,12,318.52,Yes,164.15,Credit Card,33,Fortnightly,Same Day,3.1
405-0286717-7761132,4/30/2022,Shipped,16098,Male,30,Giza,Egypt,Yes,Beauty,Lipstick,8,576.63,Yes,339.86,PayPal,25,Quarterly,Express,2.7
406-9021273-9221106,4/30/2022,Shipped,16098,Male,19,Zhengzhou,China,Yes,Toys,Doll,12,628.47,Yes,356.03,Cash,25,Monthly,Standard,3.2
404-5381335-4577925,4/30/2022,Shipped,16098,Male,24,Taichung,Taiwan,Yes,Clothing,Sweater,10,662.91,Yes,343.61,Debit Card,44,Quarterly,Standard,4.5
171-0131752-2560336,4/30/2022,Shipped - Delivered to Buyer,16098,Male,52,Brooklyn,United States,Yes,Toys,Doll,10,585.98,Yes,117.65,Venmo,21,Fortnightly,Same Day,
407-4235449-1353916,4/30/2022,Shipped - Delivered to Buyer,16098,Male,63,Ibadan,Nigeria,Yes,Electronics,Headphones,50,511,Yes,167.46,Bank Transfer,31,Fortnightly,Standard,3.5
171-8061614-5688327,4/30/2022,Shipped,16098,Male,37,Faisalabad,Pakistan,Yes,Toys,Toy Car,8,468.49,Yes,385.53,Debit Card,47,Annually,Express,2.6
